date,min,max,night_duration,day_duration
2022-04-12,7.9,22.0,37643.119178,48756.880822
2022-04-13,11.9,19.0,37418.153108,48981.846892
2022-04-14,8.8,20.2,37193.811215,49206.188785
2022-04-15,7.3,19.9,36970.129788,49429.870212
2022-04-16,6.8,19.0,36747.146649,49652.853351
2022-04-17,2.2,21.7,36524.901143,49875.098857
2022-04-18,5.6,20.5,36303.43431,50096.56569
2022-04-19,7.8,20.1,36082.788635,50317.211365
2022-04-20,8.8,19.0,35863.008536,50536.991464
2022-04-21,7.1,19.9,35644.140199,50755.859801
2022-04-22,9.1,16.2,35426.231504,50973.768496
2022-04-23,10.4,20.8,35209.332339,51190.667661
2022-04-24,11.1,20.0,34993.494523,51406.505477
2022-04-25,7.0,14.2,34778.771809,51621.228191
2022-04-26,7.4,15.4,34565.220041,51834.779959
2022-04-27,4.8,16.9,34352.897072,52047.102928
2022-04-28,6.4,19.1,34141.863013,52258.136987
2022-04-29,8.1,17.0,33932.180143,52467.819857
2022-04-30,5.9,15.2,33723.912675,52676.087325
2022-05-01,3.4,16.6,33517.127395,52882.872605
2022-05-02,7.9,18.9,33311.893103,53088.106897
2022-05-03,6.2,17.6,33108.281011,53291.718989
2022-05-04,4.6,18.1,32906.364423,53493.635577
2022-05-05,11.0,19.1,32706.21914,53693.78086
2022-05-06,6.3,23.7,32507.923132999997,53892.076867
2022-05-07,11.5,21.3,32311.556706000003,54088.443294
2022-05-08,11.3,21.1,32117.20242,54282.79758
2022-05-09,6.7,25.6,31924.945003,54475.054997
2022-05-10,13.0,24.5,31734.871602,54665.128398
2022-05-11,12.9,23.9,31547.071293,54852.928707
2022-05-12,10.1,20.6,31361.635405,55038.364595
2022-05-13,10.1,19.9,31178.657358999997,55221.342641
2022-05-14,9.0,24.7,30998.232428000003,55401.767572
2022-05-15,11.0,28.9,30820.457974999998,55579.542025
2022-05-16,18.4,23.9,30645.433054,55754.566946
2022-05-17,15.9,28.5,30473.258409000002,55926.741591
2022-05-18,16.4,27.5,30304.036475,56095.963525
2022-05-19,17.4,24.5,30137.871051000002,56262.128949
2022-05-20,12.5,19.3,29974.867389,56425.132611
2022-05-21,11.4,21.4,29815.131704,56584.868296
2022-05-22,9.0,24.7,29658.771337,56741.228663
2022-05-23,14.3,20.1,29505.894354999997,56894.105645
2022-05-24,10.9,18.4,29356.609467000002,57043.390533
2022-05-25,10.0,19.0,29211.025787,57188.974213
2022-05-26,12.4,20.4,29069.252505999997,57330.747494
2022-05-27,14.1,20.5,28931.398738000004,57468.601262
2022-05-28,10.5,18.5,28797.573513000003,57602.426487
2022-05-29,8.4,15.1,28667.884979000002,57732.115021
2022-05-30,5.4,16.7,28542.440476999996,57857.559523
2022-05-31,7.5,19.9,28421.346466000003,57978.653534
2022-06-01,8.9,19.5,28304.707628999997,58095.292371
2022-06-02,6.1,21.8,28192.627127,58207.372873
2022-06-03,12.2,26.1,28085.206103999997,58314.793896
2022-06-04,15.0,26.2,27982.543212999997,58417.456787
2022-06-05,16.0,20.7,27884.734690999998,58515.265309
2022-06-06,11.9,20.5,27791.873476,58608.126524
2022-06-07,12.7,20.7,27704.049530999997,58695.950469
2022-06-08,13.8,20.6,27621.349114999997,58778.650885
2022-06-09,12.1,21.9,27543.854544,58856.145456
2022-06-10,15.8,22.8,27471.643952,58928.356048
2022-06-11,15.5,23.3,27404.791125999996,58995.208874
2022-06-12,11.9,23.2,27343.364865000003,59056.635135
2022-06-13,12.4,21.3,27287.429059000002,59112.570941
2022-06-14,7.8,23.7,27237.042287999997,59162.957712
2022-06-15,10.3,26.8,27192.257739,59207.742261
2022-06-16,13.2,26.9,27153.122485,59246.877515
2022-06-17,16.1,32.4,27119.678128,59280.321872
2022-06-18,19.3,34.3,27091.959832,59308.040168
2022-06-19,13.1,17.8,27069.996563,59330.003437
2022-06-20,13.7,21.1,27053.811014,59346.188986
2022-06-21,11.1,22.2,27043.419359,59356.580641
2022-06-22,12.7,27.3,27038.831172,59361.168828
2022-06-23,17.6,28.1,27040.049511999998,59359.950488
2022-06-24,16.1,25.1,27047.070677000003,59352.929323
2022-06-25,14.4,21.9,27059.884528000002,59340.115472
2022-06-26,13.5,23.1,27078.474409000002,59321.525591
2022-06-27,14.7,21.8,27102.817065000003,59297.182935
2022-06-28,12.6,26.1,27132.882964999997,59267.117035
2022-06-29,12.9,27.5,27168.636221,59231.363779
2022-06-30,14.1,16.5,27210.034991,59189.965009
2022-07-01,11.8,21.7,27257.031476999997,59142.968523
2022-07-02,10.0,26.2,27309.572009000003,59090.427991
2022-07-03,13.9,23.6,27367.597523999997,59032.402476
2022-07-04,12.5,25.4,27431.043810000003,58968.95619
2022-07-05,13.1,23.6,27499.841425,58900.158575
2022-07-06,11.7,24.5,27573.916259999998,58826.08374
2022-07-07,16.3,20.7,27653.189779,58746.810221
2022-07-08,10.3,27.9,27737.579342999998,58662.420657
2022-07-09,15.4,24.8,27826.998211,58573.001789
2022-07-10,12.2,26.1,27921.356258,58478.643742
2022-07-11,13.2,28.3,28020.560064999998,58379.439935
2022-07-12,15.2,32.5,28124.513232999998,58275.486767
2022-07-13,22.6,31.4,28233.116868999998,58166.883131
2022-07-14,17.2,27.5,28346.269584,58053.730416
2022-07-15,11.7,25.7,28463.868142,57936.131858
2022-07-16,14.4,26.1,28585.807533,57814.192467
2022-07-17,11.3,28.6,28711.9813,57688.0187
2022-07-18,15.0,36.7,28842.281941,57557.718059
2022-07-19,18.0,39.5,28976.601148,57423.398852
2022-07-20,18.9,25.1,29114.82997,57285.17003
2022-07-21,17.9,22.3,29256.859213999996,57143.140786
2022-07-22,15.6,22.0,29402.579606,56997.420394
2022-07-23,13.6,28.5,29551.882116,56848.117884
2022-07-24,16.0,32.7,29704.658111999997,56695.341888
2022-07-25,18.3,24.6,29860.79945,56539.20055
2022-07-26,15.6,22.3,30020.199028000003,56379.800972
2022-07-27,12.9,22.8,30182.750549999997,56217.24945
2022-07-28,13.6,25.2,30348.349008999998,56051.650991
2022-07-29,13.9,28.2,30516.890680999997,55883.109319
2022-07-30,13.4,27.2,30688.273296,55711.726704
2022-07-31,17.9,25.1,30862.396270999998,55537.603729
2022-08-01,18.0,27.3,31039.160710999997,55360.839289
2022-08-02,16.7,29.5,31218.469494999998,55181.530505
2022-08-03,17.8,34.3,31400.227431,54999.772569
2022-08-04,18.1,28.8,31584.341339,54815.658661
2022-08-05,17.6,24.6,31770.720211,54629.279789
2022-08-06,10.1,23.9,31959.275051999997,54440.724948
2022-08-07,11.2,25.8,32149.91912,54250.08088
2022-08-08,13.4,26.0,32342.567763,54057.432237
2022-08-09,15.9,28.2,32537.138826000002,53862.861174
2022-08-10,17.3,31.5,32733.552164,53666.447836
2022-08-11,17.7,32.7,32931.730047,53468.269953
2022-08-12,17.2,33.4,33131.597159,53268.402841
2022-08-13,15.7,33.2,33333.080274,53066.919726
2022-08-14,15.8,33.0,33536.108503,52863.891497
2022-08-15,20.3,30.1,33740.613369,52659.386631
2022-08-16,19.2,28.4,33946.528486,52453.471514
2022-08-17,18.7,23.9,34153.789804,52246.210196
2022-08-18,16.3,28.1,34362.335364,52037.664636
2022-08-19,16.9,26.7,34572.10562,51827.89438
2022-08-20,14.5,24.6,34783.042798,51616.957202
2022-08-21,13.3,24.3,34995.091618,51404.908382
2022-08-22,17.8,28.2,35208.198569,51191.801431
2022-08-23,16.6,28.8,35422.312233,50977.687767
2022-08-24,17.5,32.1,35637.383125,50762.616875
2022-08-25,18.0,31.4,35853.363768,50546.636232
2022-08-26,18.8,24.2,36070.208377,50329.791623
2022-08-27,12.5,24.3,36287.873099,50112.126901
2022-08-28,16.1,24.7,36506.315768,49893.684232
2022-08-29,14.5,24.3,36725.495911,49674.504089
2022-08-30,15.7,26.9,36945.374743,49454.625257
2022-08-31,15.6,25.2,37165.914766,49234.085234
2022-09-01,16.1,27.2,37387.080414,49012.919586
2022-09-02,12.2,27.6,37608.837247,48791.162753
2022-09-03,15.9,25.9,37831.152356,48568.847644
2022-09-04,15.8,27.9,38053.994036,48346.005964
2022-09-05,15.4,27.9,38277.331871,48122.668129
2022-09-06,15.6,27.0,38501.136813,47898.863187
2022-09-07,15.0,24.2,38725.380618,47674.619382
2022-09-08,15.5,22.8,38950.03641,47449.96359
2022-09-09,14.9,21.5,39175.078118,47224.921882
2022-09-10,14.3,22.9,39400.480718,46999.519282
2022-09-11,13.2,23.3,39626.219988,46773.780012
2022-09-12,11.7,26.6,39852.272594,46547.727406
2022-09-13,17.9,22.6,40078.615845,46321.384155
2022-09-14,15.1,16.9,40305.227772,46094.772228
2022-09-15,12.1,20.6,40532.087052,45867.912948
2022-09-16,10.5,17.9,40759.172926,45640.827074
2022-09-17,9.5,17.5,40986.465115,45413.534885
2022-09-18,9.4,17.4,41213.943664,45186.056336
2022-09-19,9.4,19.2,41441.58918,44958.41082
2022-09-20,8.9,18.6,41669.382352,44730.617648
2022-09-21,6.6,19.3,41897.30419,44502.69581
2022-09-22,5.4,20.4,42125.335944,44274.664056
2022-09-23,8.4,19.0,42353.458867,44046.541133
2022-09-24,12.9,17.8,42581.65421,43818.34579
2022-09-25,8.7,18.3,42809.903464,43590.096536
2022-09-26,11.0,13.9,43038.187561,43361.812439
2022-09-27,8.4,16.2,43266.487751,43133.512249
2022-09-28,7.6,16.8,43494.784803,42905.215197
2022-09-29,6.1,16.9,43723.059082,42676.940918
2022-09-30,5.2,18.6,43951.290957,42448.709043
2022-10-01,11.6,20.7,44179.459986,42220.540014
2022-10-02,12.8,17.1,44407.545412,41992.454588
2022-10-03,5.0,18.5,44635.525909,41764.474091
2022-10-04,8.3,19.5,44863.379592,41536.620408
2022-10-05,15.4,19.2,45091.083608,41308.916392
2022-10-06,9.5,19.1,45318.61454,41081.38546
2022-10-07,7.4,19.6,45545.948008,40854.051992
2022-10-08,10.1,17.8,45773.058907,40626.941093
2022-10-09,3.5,18.8,45999.920842,40400.079158
2022-10-10,7.8,18.5,46226.506618,40173.493382
2022-10-11,3.9,17.0,46452.787668,39947.212332
2022-10-12,2.2,17.9,46678.7343,39721.2657
2022-10-13,11.8,16.2,46904.315615,39495.684385
2022-10-14,14.1,18.1,47129.499266,39270.500734
2022-10-15,13.2,19.8,47354.251377,39045.748623
2022-10-16,12.5,20.0,47578.536702,38821.463298
2022-10-17,14.2,19.6,47802.318308,38597.681692
2022-10-18,12.2,20.4,48025.557572,38374.442428
2022-10-19,9.7,18.2,48248.21418,38151.78582
2022-10-20,11.9,21.0,48470.245967,37929.754033
2022-10-21,12.2,22.5,48691.608838,37708.391162
2022-10-22,14.1,20.2,48912.256766,37487.743234
2022-10-23,13.3,21.0,49132.141713,37267.858287
2022-10-24,13.9,19.4,49351.213307,37048.786693
2022-10-25,12.4,19.0,49569.419164,36830.580836
2022-10-26,13.6,22.1,49786.704648,36613.295352
2022-10-27,12.2,21.7,50003.012708,36396.987292
2022-10-28,14.1,22.9,50218.28388,36181.71612
2022-10-29,12.8,23.7,50432.456366,35967.543634
2022-10-30,10.6,19.7,50645.465711,35754.534289
2022-10-31,8.1,17.6,50857.244889,35542.755111
2022-11-01,11.5,17.4,51067.724294,35332.275706
2022-11-02,10.6,15.7,51276.83175,35123.16825
2022-11-03,11.1,15.4,51484.4921,34915.5079
2022-11-04,8.8,13.1,51690.627695,34709.372305
2022-11-05,3.8,11.7,51895.157988,34504.842012
2022-11-06,9.2,12.3,52097.999615,34302.000385
2022-11-07,10.5,16.3,52299.066398,34100.933602
2022-11-08,11.2,16.2,52498.269502,33901.730498
2022-11-09,11.4,14.2,52695.516953,33704.483047
2022-11-10,9.0,15.2,52890.714366,33509.285634
2022-11-11,8.9,12.7,53083.764133,33316.235867
2022-11-12,4.6,10.0,53274.566397,33125.433603
2022-11-13,2.9,14.6,53463.018242,32936.981758
2022-11-14,1.0,11.2,53649.014176,32750.985824
2022-11-15,6.4,12.5,53832.446293,32567.553707
2022-11-16,7.7,13.3,54013.204113,32386.795887
2022-11-17,10.0,12.4,54191.174742999996,32208.825257
2022-11-18,8.0,14.1,54366.243276,32033.756724
2022-11-19,4.8,10.8,54538.292394000004,31861.707606
2022-11-20,4.3,10.4,54707.203085,31692.796915
2022-11-21,1.7,8.5,54872.854409,31527.145591
2022-11-22,4.7,9.7,55035.123897,31364.876103
2022-11-23,5.6,9.8,55193.887711,31206.112289
2022-11-24,7.4,11.9,55349.020726,31050.979274
2022-11-25,7.3,13.2,55500.397173000005,30899.602827
2022-11-26,3.9,11.1,55647.890398,30752.109602
2022-11-27,6.4,9.1,55791.373426,30608.626574
2022-11-28,7.3,11.7,55930.719360999996,30469.280639
2022-11-29,2.1,5.6,56065.801307999995,30334.198692
2022-11-30,4.3,6.2,56196.493256999995,30203.506743
2022-12-01,3.6,7.7,56322.669760000004,30077.33024
2022-12-02,0.6,4.6,56444.206900000005,29955.7931
2022-12-03,2.1,3.2,56560.982368,29839.017632
2022-12-04,0.7,2.0,56672.875866999995,29727.124133
2022-12-05,1.1,4.7,56779.769513,29620.230487
2022-12-06,1.0,9.0,56881.548241,29518.451759
2022-12-07,3.3,7.8,56978.100283,29421.899717
2022-12-08,1.1,6.4,57069.31741,29330.68259
2022-12-09,-1.9,5.5,57155.09542,29244.90458
2022-12-10,-0.1,3.3,57235.334614,29164.665386
2022-12-11,0.1,1.1,57309.940124,29090.059876
2022-12-12,-3.2,1.3,57378.822068,29021.177932
2022-12-13,-8.0,0.5,57441.896439000004,28958.103561
2022-12-14,-3.8,1.3,57499.085024,28900.914976
2022-12-15,-6.9,4.4,57550.315726,28849.684274
2022-12-16,-4.5,4.3,57595.523367,28804.476633
2022-12-17,-7.5,-0.5,57634.649286,28765.350714
2022-12-18,-8.3,7.5,57667.642147,28732.357853
2022-12-19,0.1,11.1,57694.457934,28705.542066
2022-12-20,9.6,11.0,57715.060276000004,28684.939724
2022-12-21,7.4,10.5,57729.420448000004,28670.579552
2022-12-22,8.3,11.6,57737.517688,28662.482312
2022-12-23,9.5,13.9,57739.339042,28660.660958
2022-12-24,10.0,12.7,57734.879843,28665.120157
2022-12-25,9.4,10.3,57724.143229,28675.856771
2022-12-26,5.3,10.3,57707.140625,28692.859375
2022-12-27,4.4,9.6,57683.891184,28716.108816
2022-12-28,6.3,11.9,57654.422181999995,28745.577818
2022-12-29,7.5,11.1,57618.768543,28781.231457
2022-12-30,5.0,16.2,57576.972914,28823.027086
2022-12-31,12.5,16.5,57529.085264,28870.914736
